id,text,a,b,c,d,tags,question_type,answer
1,Quelle est la capitale du Somaliland,Hargeisa,,,,world_capitals,cash,a
2,Quelle est la capitale du South Georgia and South Sandwich Islands,King Edward Point,,,,world_capitals,cash,a
3,Quelle est la capitale du French Southern and Antarctic Lands,Port-aux-Français,,,,world_capitals,cash,a
4,Quelle est la capitale du Palestine,Jerusalem,,,,world_capitals,cash,a
5,Quelle est la capitale du Aland Islands,Mariehamn,,,,world_capitals,cash,a
6,Quelle est la capitale du Nauru,Yaren,,,,world_capitals,cash,a
7,Quelle est la capitale du Saint Martin,Marigot,,,,world_capitals,cash,a
8,Quelle est la capitale du Tokelau,Atafu,,,,world_capitals,cash,a
9,Quelle est la capitale du Western Sahara,El-Aaiún,,,,world_capitals,cash,a
10,Quelle est la capitale du Afghanistan,Kabul,,,,world_capitals,cash,a
11,Quelle est la capitale du Albania,Tirana,,,,world_capitals,cash,a
12,Quelle est la capitale du Algeria,Algiers,,,,world_capitals,cash,a
13,Quelle est la capitale du American Samoa,Pago Pago,,,,world_capitals,cash,a
14,Quelle est la capitale du Andorra,Andorra la Vella,,,,world_capitals,cash,a
15,Quelle est la capitale du Angola,Luanda,,,,world_capitals,cash,a
16,Quelle est la capitale du Anguilla,The Valley,,,,world_capitals,cash,a
17,Quelle est la capitale du Antigua and Barbuda,Saint John's,,,,world_capitals,cash,a
18,Quelle est la capitale du Argentina,Buenos Aires,,,,world_capitals,cash,a
19,Quelle est la capitale du Armenia,Yerevan,,,,world_capitals,cash,a
20,Quelle est la capitale du Aruba,Oranjestad,,,,world_capitals,cash,a
21,Quelle est la capitale du Australia,Canberra,,,,world_capitals,cash,a
22,Quelle est la capitale du Austria,Vienna,,,,world_capitals,cash,a
23,Quelle est la capitale du Azerbaijan,Baku,,,,world_capitals,cash,a
24,Quelle est la capitale du Bahamas,Nassau,,,,world_capitals,cash,a
25,Quelle est la capitale du Bahrain,Manama,,,,world_capitals,cash,a
26,Quelle est la capitale du Bangladesh,Dhaka,,,,world_capitals,cash,a
27,Quelle est la capitale du Barbados,Bridgetown,,,,world_capitals,cash,a
28,Quelle est la capitale du Belarus,Minsk,,,,world_capitals,cash,a
29,Quelle est la capitale du Belgium,Brussels,,,,world_capitals,cash,a
30,Quelle est la capitale du Belize,Belmopan,,,,world_capitals,cash,a
31,Quelle est la capitale du Benin,Porto-Novo,,,,world_capitals,cash,a
32,Quelle est la capitale du Bermuda,Hamilton,,,,world_capitals,cash,a
33,Quelle est la capitale du Bhutan,Thimphu,,,,world_capitals,cash,a
34,Quelle est la capitale du Bolivia,La Paz,,,,world_capitals,cash,a
35,Quelle est la capitale du Bosnia and Herzegovina,Sarajevo,,,,world_capitals,cash,a
36,Quelle est la capitale du Botswana,Gaborone,,,,world_capitals,cash,a
37,Quelle est la capitale du Brazil,Brasilia,,,,world_capitals,cash,a
38,Quelle est la capitale du British Virgin Islands,Road Town,,,,world_capitals,cash,a
39,Quelle est la capitale du Brunei Darussalam,Bandar Seri Begawan,,,,world_capitals,cash,a
40,Quelle est la capitale du Bulgaria,Sofia,,,,world_capitals,cash,a
41,Quelle est la capitale du Burkina Faso,Ouagadougou,,,,world_capitals,cash,a
42,Quelle est la capitale du Myanmar,Rangoon,,,,world_capitals,cash,a
43,Quelle est la capitale du Burundi,Bujumbura,,,,world_capitals,cash,a
44,Quelle est la capitale du Cambodia,Phnom Penh,,,,world_capitals,cash,a
45,Quelle est la capitale du Cameroon,Yaounde,,,,world_capitals,cash,a
46,Quelle est la capitale du Canada,Ottawa,,,,world_capitals,cash,a
47,Quelle est la capitale du Cape Verde,Praia,,,,world_capitals,cash,a
48,Quelle est la capitale du Cayman Islands,George Town,,,,world_capitals,cash,a
49,Quelle est la capitale du Central African Republic,Bangui,,,,world_capitals,cash,a
50,Quelle est la capitale du Chad,N'Djamena,,,,world_capitals,cash,a
51,Quelle est la capitale du Chile,Santiago,,,,world_capitals,cash,a
52,Quelle est la capitale du China,Beijing,,,,world_capitals,cash,a
53,Quelle est la capitale du Christmas Island,The Settlement,,,,world_capitals,cash,a
54,Quelle est la capitale du Cocos Islands,West Island,,,,world_capitals,cash,a
55,Quelle est la capitale du Colombia,Bogota,,,,world_capitals,cash,a
56,Quelle est la capitale du Comoros,Moroni,,,,world_capitals,cash,a
57,Quelle est la capitale du Democratic Republic of the Congo,Kinshasa,,,,world_capitals,cash,a
58,Quelle est la capitale du Republic of Congo,Brazzaville,,,,world_capitals,cash,a
59,Quelle est la capitale du Cook Islands,Avarua,,,,world_capitals,cash,a
60,Quelle est la capitale du Costa Rica,San Jose,,,,world_capitals,cash,a
61,Quelle est la capitale du Cote d'Ivoire,Yamoussoukro,,,,world_capitals,cash,a
62,Quelle est la capitale du Croatia,Zagreb,,,,world_capitals,cash,a
63,Quelle est la capitale du Cuba,Havana,,,,world_capitals,cash,a
64,Quelle est la capitale du Curaçao,Willemstad,,,,world_capitals,cash,a
65,Quelle est la capitale du Cyprus,Nicosia,,,,world_capitals,cash,a
66,Quelle est la capitale du Czech Republic,Prague,,,,world_capitals,cash,a
67,Quelle est la capitale du Denmark,Copenhagen,,,,world_capitals,cash,a
68,Quelle est la capitale du Djibouti,Djibouti,,,,world_capitals,cash,a
69,Quelle est la capitale du Dominica,Roseau,,,,world_capitals,cash,a
70,Quelle est la capitale du Dominican Republic,Santo Domingo,,,,world_capitals,cash,a
71,Quelle est la capitale du Ecuador,Quito,,,,world_capitals,cash,a
72,Quelle est la capitale du Egypt,Cairo,,,,world_capitals,cash,a
73,Quelle est la capitale du El Salvador,San Salvador,,,,world_capitals,cash,a
74,Quelle est la capitale du Equatorial Guinea,Malabo,,,,world_capitals,cash,a
75,Quelle est la capitale du Eritrea,Asmara,,,,world_capitals,cash,a
76,Quelle est la capitale du Estonia,Tallinn,,,,world_capitals,cash,a
77,Quelle est la capitale du Ethiopia,Addis Ababa,,,,world_capitals,cash,a
